erd;proposal;vote;power
erd1ryhql7yad8qfcruuvdqdlsnlzly4l44pfu7qgtmc93a2g5398tvs2vh5c2;01;yes;115037936
erd13e5d7uzqsuctu509amcqz7vw3a3jfejq9740x4xg5rre2t233g7stagrzj;01;yes;15602387
erd1havjlahy6w53r8heqau9nqmnn3qknavj7wv87dv6d53jc2mf3dnsez6zn4;01;yes;40261063
erd1m58yvmx7qp7c35n7k4z0fwteygmv7vrnck9rr9gcxq9s30nuyyhsl5e4kz;01;yes;5086350
erd1krlfg0mxn6fh7p9c8s5gzyktsmfy8z8cztnmpugfsqmrsea9vz4q9v0wsc;01;yes;152942766
erd1dwzzumt899vcnp4auhc8stkysf6tv9akdh0ehaews6cl84f6x4nq5gygjr;01;yes;1808968
erd1l8ckd0juvkfnamesju8jvtvxv44x99jn0sfqu8zs0hj9q6m5qafq2l43qn;01;yes;106901645
erd1n585gt4709dtlgp3dgnpfewmhcalru47d0nfptz24pm6sc8ygzzsqqn8x5;01;yes;196441247
erd155tya4njad7f5xqm0798askapgwtqvl9zcszwt0emn2mlpa2qnes6xhwa4;01;yes;25994729
erd1zx5q02ys9t5katz9qpz0zmvmlrqahanlqvmlavsxx8es5p4aqncqy3mtr0;01;yes;404484
erd1rkwtepjtsljh8sj35ng9ek7sk60cn74dc506t2vdwsjglk5rsesscnjrsl;01;yes;239976564
erd1t64a3e8x3p389egx5nags20walfv0qjdxsgdh8w62d9r7mkma6sqjup4xg;01;yes;10998629
erd10q607jaxd9rsx7f6vgezlfdzj9xynrvqsneum6a5agqek3zul8fs40f2tt;01;yes;49577066
erd1g2zryg44n64jsqp6zk99vxzd7mdkchgs5r8l88das6ztz9axqdaq5f959n;01;yes;355164
erd1nfjfmffx7qtpsgkwr27fl5dzlyl0c8xmygf9knxutyddzrqcvw2s8g2vg8;01;yes;2032696
erd1tjeulepdug6nhpsf9mfcel9y5ehd7wev9kud0fw4msf03d4hm7cqwc047t;01;yes;17705263
erd1w5jdst33apweth6rqnd07ymt9x7n9kcvsrmau8y5hawnq2kf97dscu36xy;01;yes;151944508
erd14nftujceu5guzdfmc3php6dzyktvw4xthgtq7u7qy3m9y86wnp2qj8yum3;01;yes;236108927
erd1q97pz8n3fx4gcqy85hsxsug7s6k606nue8y0n94gqj3ap3nx6ftq5zzltf;01;yes;11264453
erd13h3fz0y8ed2yyvwcutf3sfr88a97tujsvm3hncjekts0mvjggh3qk8h3x0;01;yes;15259953
erd1h77wrw4lwlymxprev495pkjuplqey3u5t3m9calh7qnugcf3gm7q57gj4p;01;yes;106898857
erd1r2fcgc7wu7eatdu6cgasfuyyzh8f0ras0t4x7rk3n86jkqx05dksp63t2c;01;yes;200000000
erd1rynk5vuydrml9nlr4v9lmwvtm4ytg2z9f89g72l2amf97h4nzf8qyvnyhg;01;yes;1216126
erd18mq7nhzduepcc9yhqz3up38nl8v7dxhjrrnux2kz2h09q7xw43jssrmezn;01;yes;3647591
erd12x6sjvu3ctxepzgsetsy7erl526pxzpvlnpeyywngf9tjjvytm4qwh6rna;01;yes;273820644
erd1snt4mk5544eawrehtrh49ms9zy5qywd9wqt2p5n2p02hn7gvcnas3cy0zh;01;yes;46602277
erd1ezj5r58pppnrkws8np6p3qargqkzwrelyptf42cffpcpzyvgvpvqc7u4xa;01;yes;1095294724
erd1c48gp709kzz7j8g2urfdttwrf5nphxqw7fw27jha6v2uaem6a49spu3zw7;01;blank;41391494
erd1xrrpsa7n56v7y350d43wy04mvts2l2csluyd90zuye703ym8g0xqm326hp;01;yes;200000000
erd1chl064cfkz020a3vusx64juku8hrh84q6wsgy0yrrpwegmh4h0kshrqw8p;01;yes;124676
erd1khgasnt0we98dekvry8ece5qpfcqe0a5g9c44rjhyt3dm9zczdusa9cp6t;01;yes;1691055
erd18zpfp0vk78nw2m9yantmf72v0nk3ux0a2hv3vy3wx3pa2ccf2s5s5x6gwa;01;yes;6011528
erd195snguyqswsdsh5evumqpls05tntdznma83xgzk5560fg6yyflws2n5dp3;01;yes;138894
erd1krn3l6kq66dkgycnceqgn2nkn03f5fegdf3hnrnaqar7vp0dd8lqz09mje;01;yes;871720
erd16c72yul7cunl4m99uea8zhejst4szn4sj3rq02s2p30hc52z33lsrrnsh8;01;yes;23515265
